BirdID,Sex,Tarsus,BillL,BillW,Tail,Wing,Weight
TA14502,F,18.8,13.1,6.5,52.3,72.7,26.8
TA14502,F,18.2,13.3,6.6,51.0,71.0,27.3
TA14502,F,18.3,13.4,6.5,52.0,71.0,29.8
TA14505,F,18.1,13.0,6.3,58.0,75.0,30.0
TA14505,F,18.0,13.2,6.1,57.0,77.5,26.4
TA14505,F,18.2,12.8,6.0,57.0,77.0,25.8
TA14506,F,18.1,13.3,6.3,55.0,75.0,25.7
TA14506,F,18.8,12.8,6.1,56.0,75.0,24.6
TA14507,F,18.1,13.3,6.5,56.0,74.0,25.8
TA14507,F,18.2,13.0,6.2,58.0,76.0,26.4
TA14509,M,18.1,13.3,6.4,59.5,78.0,26.3
TA14509,M,18.1,13.2,6.3,59.0,77.0,25.3
TA14509,M,18.2,12.3,6.2,60.0,79.0,25.1
TA14509,M,18.4,13.4,6.1,61.0,79.0,24.0
TA14513,F,17.1,12.8,6.3,54.0,73.5,24.8
TA14513,F,17.4,12.9,6.1,56.0,74.7,24.5
TA14513,F,17.6,12.4,6.0,56.0,75.0,25.2
TA14516,M,18.8,13.2,6.6,60.0,80.0,28.0
TA14516,M,19.0,13.5,7.1,60.0,88.0,31.3
TA14518,M,19.4,13.8,6.8,60.0,80.0,29.4
TA14518,M,18.8,13.5,6.9,59.0,84.5,30.6
TA14518,M,19.3,13.4,6.6,61.0,81.0,28.2
TA14522,F,18.5,13.5,6.3,58.3,77.8,26.8
TA14522,F,18.4,13.2,6.4,55.0,76.0,28.4
TA14525,F,19.2,14.0,6.5,57.0,78.0,27.6
TA14525,F,19.2,13.9,6.4,56.0,77.0,27.8
TA14525,F,19.2,14.0,6.0,59.0,79.0,28.8
TA14528,M,16.9,12.5,6.3,56.7,79.0,25.3
TA14528,M,16.9,12.0,6.0,55.0,77.0,25.5
TA14528,M,17.1,12.2,6.0,59.0,79.0,25.7
TA14529,M,20.2,13.9,6.7,61.3,82.0,29.1
TA14529,M,20.2,14.1,6.5,62.0,83.0,30.6
TA14529,M,20.3,14.4,6.5,63.0,84.0,30.9
TA14530,F,19.1,13.4,7.0,58.0,77.0,26.8
TA14530,F,19.0,13.0,7.0,55.0,77.0,29.3
TA14530,F,19.1,13.0,6.8,60.0,78.0,29.0
TA14530,F,19.0,13.5,7.0,59.0,78.0,29.0
TA14531,M,20.0,12.7,6.8,59.0,80.3,30.3
TA14531,M,20.0,13.0,7.1,57.0,76.0,30.3
TA14531,M,20.3,12.7,6.5,61.0,82.0,31.6
TA14531,M,20.2,13.3,6.9,62.0,81.0,31.8
TA14532,F,20.4,14.0,6.5,57.0,77.0,29.9
TA14532,F,20.2,13.5,6.9,56.0,77.0,29.3
TA14532,F,20.8,13.6,6.6,59.5,78.5,30.4
TA14532,F,20.8,13.7,6.1,60.0,80.0,32.6
TA14541,M,17.5,12.9,6.7,61.0,80.0,27.0
TA14541,M,18.0,13.0,6.7,63.0,81.0,25.0
TA14548,F,18.8,14.3,6.9,57.0,75.5,26.6
TA14548,F,18.7,13.9,6.9,57.0,75.0,25.8
TA14548,F,18.8,14.7,6.5,57.5,76.5,27.1
