EPP,Age
0,2
0,2
3,2
1,2
0,2
1,2
1,2
0,2
0,2
0,2
0,2
0,2
2,2
0,2
0,2
0,2
0,2
0,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,4
0,4
5,2
0,2
0,2
1,4
0,4
2,3
2,3
1,3
0,3
0,3
4,3
2,3
3,3
0,3
0,4
8,4
0,4
0,4
3,4
0,4
3,4
13,4
1,4
4,3
1,3
9,3
6,3
1,2
8,2
1,2
